ts_id,ds,prediction,lower_bound,upper_bound,value,anomaly_flag,abs_error
10_9454C3610D0A_E2288FCE3225_5,2023-04-28T02:30:38.000+0000,-2639.7576,-57950.13,52925.926,2458,0,5097.758
10_9454C3610D0A_E2288FCE3225_5,2023-04-28T02:00:17.000+0000,-2748.8872,-54200.418,55290.367,2509,0,5257.887
10_9454C3610D0A_E2288FCE3225_5,2023-04-28T01:31:23.000+0000,-2868.707,-63878.61,57014.234,2718,0,5586.707
10_9454C3610D0A_E2288FCE3225_5,2023-04-28T01:00:30.000+0000,-3009.7705,-65376.07,58579.742,2897,0,5906.7705
10_9454C3610D0A_E2288FCE3225_5,2023-04-28T00:31:25.000+0000,-3147.2063,-74057.34,62255.535,3021,0,6168.206
10_9454C3610D0A_E2288FCE3225_5,2023-04-28T00:01:12.000+0000,-3283.8586,-77401.83,64795.203,3074,0,6357.8584
10_9454C3610D0A_E2288FCE3225_5,2023-04-27T23:31:27.000+0000,-3400.8782,-69392.24,66122.234,3084,0,6484.878
10_9454C3610D0A_E2288FCE3225_5,2023-04-27T23:01:28.000+0000,-3491.405,-71143.59,67900.55,3177,0,6668.4053
10_9454C3610D0A_E2288FCE3225_5,2023-04-27T22:30:14.000+0000,-3550.2354,-72694.984,69130.5,3618,0,7168.2354
10_9454C3610D0A_E2288FCE3225_5,2023-04-27T21:30:15.000+0000,-3566.2073,-74575.73,75196.3,3096,0,6662.207
10_9454C3610D0A_E2288FCE3225_5,2023-04-27T21:01:19.000+0000,-3542.3691,-78110.09,73516.31,3024,0,6566.369
10_9454C3610D0A_E2288FCE3225_5,2023-04-27T20:31:19.000+0000,-3510.0457,-85953.12,67708.88,2905,0,6415.046
10_9454C3610D0A_E2288FCE3225_5,2023-04-27T20:01:13.000+0000,-3479.8816,-81333.8,69610.555,2909,0,6388.882
10_9454C3610D0A_E2288FCE3225_5,2023-04-27T19:31:31.000+0000,-3458.464,-83374.83,66047.36,2854,0,6312.464
