ts_id,ds,y
10_9454C3610D0A_54F82A18367A_8,2023-05-09 04:05:00,264074512.0
10_9454C3610D0A_E2288FCE3225_4,2023-05-09 04:05:00,3035871.0
10_9454C3610D0A_EF76166561AF_22,2023-05-09 04:05:00,1709.0
10_9454C35EAE21_9454C35EAE21_13,2023-05-09 04:05:00,1.0
10_9454C3610D0A_F168FB78EEB5_22,2023-05-09 04:05:00,3941.0
10_9454C35EAE21_9454C35EAE21_8,2023-05-09 04:05:00,1e-07
10_9454C3610D0A_E2288FCE3225_5,2023-05-09 04:05:00,2898.0
10_9454C36130F5_54F82A737EF9_5,2023-05-09 04:05:00,1419.0
10_9454C36130F5_54F82A73BE1E_5,2023-05-09 04:05:00,1761.0
10_9454C3610D0A_FDDD333320AE_22,2023-05-09 04:05:00,4578.0
10_9454C36130F5_54F82A737EF9_7,2023-05-09 04:05:00,2812.0
10_9454C36130F5_54F82A7319CD_7,2023-05-09 04:05:00,1e-07
10_9454C3610D0A_9454C3610D0A_8,2023-05-09 04:05:00,2.0
10_9454C35EAE21_9454C35EAE21_13,2023-05-09 03:45:00,1.0
10_9454C35EAE21_9454C35EAE21_8,2023-05-09 03:45:00,1e-07
10_9454C3610D0A_54F82A18367A_8,2023-05-09 03:35:00,264074512.0
10_9454C3610D0A_E2288FCE3225_4,2023-05-09 03:35:00,3051395.0
10_9454C3610D0A_EF76166561AF_22,2023-05-09 03:35:00,1753.0
10_9454C3610D0A_F168FB78EEB5_22,2023-05-09 03:35:00,3970.0
10_9454C3610D0A_E2288FCE3225_5,2023-05-09 03:35:00,3018.0
10_9454C36130F5_54F82A737EF9_5,2023-05-09 03:35:00,1507.0
10_9454C3610D0A_FDDD333320AE_22,2023-05-09 03:35:00,4578.0
10_9454C36130F5_54F82A73BE1E_5,2023-05-09 03:35:00,1868.0
10_9454C36130F5_54F82A7319CD_7,2023-05-09 03:35:00,1e-07
10_9454C36130F5_54F82A737EF9_7,2023-05-09 03:35:00,2812.0
10_9454C3610D0A_9454C3610D0A_8,2023-05-09 03:35:00,2.0
10_9454C35EAE21_9454C35EAE21_13,2023-05-09 03:25:00,1.0
10_9454C35EAE21_9454C35EAE21_8,2023-05-09 03:25:00,1e-07
10_9454C3610D0A_E2288FCE3225_4,2023-05-09 03:05:00,3066832.0
10_9454C3610D0A_54F82A18367A_8,2023-05-09 03:05:00,264074512.0
10_9454C3610D0A_EF76166561AF_22,2023-05-09 03:05:00,1816.0
10_9454C35EAE21_9454C35EAE21_13,2023-05-09 03:05:00,1.0
10_9454C3610D0A_F168FB78EEB5_22,2023-05-09 03:05:00,3999.0
10_9454C35EAE21_9454C35EAE21_8,2023-05-09 03:05:00,1e-07
10_9454C36130F5_54F82A737EF9_5,2023-05-09 03:05:00,1614.0
10_9454C3610D0A_E2288FCE3225_5,2023-05-09 03:05:00,3094.0
10_9454C36130F5_54F82A73BE1E_5,2023-05-09 03:05:00,1897.0
10_9454C3610D0A_FDDD333320AE_22,2023-05-09 03:05:00,4578.0
10_9454C36130F5_54F82A7319CD_7,2023-05-09 03:05:00,1e-07
10_9454C36130F5_54F82A737EF9_7,2023-05-09 03:05:00,2812.0
10_9454C3610D0A_9454C3610D0A_8,2023-05-09 03:05:00,2.0
10_9454C35EAE21_9454C35EAE21_13,2023-05-09 02:45:00,1.0
10_9454C35EAE21_9454C35EAE21_8,2023-05-09 02:45:00,1e-07
10_9454C3610D0A_54F82A18367A_8,2023-05-09 02:35:00,264074512.0
10_9454C3610D0A_E2288FCE3225_4,2023-05-09 02:35:00,3082442.0
10_9454C3610D0A_EF76166561AF_22,2023-05-09 02:35:00,1864.0
10_9454C3610D0A_F168FB78EEB5_22,2023-05-09 02:35:00,4023.0
10_9454C36130F5_54F82A737EF9_5,2023-05-09 02:35:00,1936.0
10_9454C3610D0A_E2288FCE3225_5,2023-05-09 02:35:00,3213.0
10_9454C36130F5_54F82A73BE1E_5,2023-05-09 02:35:00,2210.0
